폰모델 제목,가격,등록시간,내용
S21Ultra  [팬텀블랙]  53829  (S급),"650,000",2일 전,"no.53829○등급 : S급○용량 : 256GB○색상 : 팬텀블랙○최초통신사 : KT○최초통화일 : 21.01.26°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°●제품설명●갤럭시S21Ultra 모델 이예요기기상태는 사진과 동일해요외관 약간의 사용감정도만 존재하구요전체적으로 깨끗한 ""S급"" 상태예요SKT / KT / LGU+ 상관없이 모든 통신사 사용 가능해요5G, 4G 유심, 알뜰유심,선불유심 전부 사용 가능해요25% 선택약정 요금할인 가능한 기기예요°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°●제품실사만 촬영후 업로드●모든 제품 입고후 세척후 보관●믿을수 있는 오프라인 매장 운영 전문 상점●상담시간 오전10시~새벽3시°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°■인증 포토 후기 작성시 사은품 증정■[필름,케이스,그립톡,유심핀,벌크충전기]■직거래 홍대입구역 2번출구 매장■택배가능 지방 버스퀵 가능●●당근폰의 다른 상품 둘러보기●●http://shop.bunjang.co.kr/dgphone"
갤럭시노트10 256기가,"210,000",1시간 전,"제품정보( SK / KT / LG / 알뜰폰 모두 유심만 꽂아서 사용가능 합니다)가격 : 21만원제품설명화면에 생활기스 있어서 저렴하게 판매합니다잔상없습니다2주안에 기기문제있을시 교환,환불가능합니다그 이후로는 불가능합니다고객님의  부주의로 인한  불량  파손  침수불량 으로인한  교환 및 환불요청시  불가 합니다택배거래,직거래 가능합니다직거래는 수원역입니다"
갤럭시 s5,"40,000",1시간 전,갤럭시 s5( 삼성)입니다초기화하였고.정상적으로 해지한 단말기 입니다.구성품1.단말기 본체2.배터리 2개3.케이스 1개( TPU 재질) 충전기 는 필요하다고 요청하면 드립니다.직거래 우선입니다.댓글은 답변하지 않으니 번톡으로 문의주세요
(센터판)갤럭시A32 A32 64기가 리퍼폰!! 0705-13,"180,000",1시간 전,"■중고폰 다량보유!! 찾으시는 제품있으시면 편하게 문의주세요^^■■제품정보■​모든제품 기능검사 철저하게 진행하고있습니다.​최저가로 최상의 제품을 모시겠습니다.​*기기명: 갤럭시A32 64기가*제품번호: 0705-13*색상: 블랙*최초통신사: LG*3사호환가능  (LG/ KT/ SK/알뜰폰,선불폰 가능■제품상태■*삼성센터에서 액정+배터리+테두리+보드 교체한 제품*액정 매우 깨끗하며 뒷면미세기스외엔 전체적으로 깨끗합니다.*잔상 없습니다.​*구성품: 휴대폰단품, 액정필름, 투명젤리케이스, 무료배송                   *재고없을시 단품발송.​■제품설명■*유심 꽂으면 바로 사용가능​*25프로 선택약정 가능*구입후 7일이내 기능 이상시 교환,환불가능합니다(단순변심,고객과실 제외)■거래방식■​*택배 또는 직거래(경기도 광주 매장방문->율동공원 5분거리)​*택배이용시 택배비 무료​* 오후 4시까지 결제시 당일발송!!■업체 정보및 연락처■*주소지:경기도 광주시 오포읍 능평로 47  호박마켓* 0.1.0.4.9.7.9.4.4 8.8으로 연락 주세요^^"
갤럭시 S22+ 256g 블랙 SKT 판매합니다,"750,000",1시간 전,갤럭시 S22+ 256g 블랙 SKT 판매합니다.액정에는 기스가 없도 뒷면 하단부에 기스랑 찍힘있습니다기능에는 문제가 하나도없습니다. 최초 통화일은 22년 03월 11일 입니다. 통신사는 SKT입니다.구성품은 없구 박스는 드립니다. 뒤에 기스 보기불편할까봐 케이스도 같이드립니다.사진으로만 보지마시고 직거래로 해서 눈으로 확인후 사시는걸 추천합니다.
#한정판매# 갤럭시S21플러스 256GB 블랙 중고폰공기계 [65800],"465,000",22시간 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!           💟한정 후기 이벤트💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]♨대량구매 문의 대환영♨[제품정보]용량: 256GB색상: 블랙제품등급: A급최초 통화일:위 사진상태: 상세사진 참고⚠️통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)⚠️확정기변/25%약정할인가능(알뜰유심,선불유심 전부사용가능) 문의주세용!!🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다📦번개페이📦번개장터 번개페이 결제시※ 반드시 판매자 사전 협의 이후 결제 부탁 드립니다 ※📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층★ 직거래 구매시 매장 방문 시간은 ★  평일:오전 11:00시부터~오후7시30분 💟💟13:00~14:30 점심시간입니다. [해당시간만 피해주세요!]💟💟                  ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
LG V50S 듀얼포함 256GB 판매합니다,"240,000",1시간 전,"- 모델명 : V50S 듀얼포함- 용량(기가수) : 256- 색상 : 블랙#통신호환 : SKT , KT , LG U+ , 선불폰 , 알뜰폰 모든 유심 가능합니다 (20%선택약정할인 및 확정기변가능) #정상해지여부 : O#거래방식 : 직거래/택배거래/퀵거래#직거래가능지역 : 서울강서,양천구/부천전지역/인천계양,부평●터치,카메라,소리,기능 점검 완료 이상 없습니다!●중고 휴대폰 특성상 미세한 실기스는 있을수 있습니다 새폰같은 중고폰이지 새폰 아닙니다●구성품은 기기단품 입니다●택배거래는 CJ대한통운과 우체국택배로 오후5시30까지 입금해주시면 당일 수거전 발송되어 제주도외 전국 어디든지 다음날 수령 가능하십니다~"
당일발송 사은품8종 갤럭시s10 중고폰 등급별 최저가 판매!,"209,000",1시간 전,"안녕하세요 WING MOBILE입니다!오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!한국어 상담/中文谘询/ENG OK!!전문 엔지니어팀이 외관&기능 정밀 검수 후 출고!••••••••••••구매 후기 이벤트 진행중••••••••••••구매 후기 작성시 사은품 8종 무료 증정!젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) ••••••••••••거래 방법••••••••••••직거래: 동대문역사문화공원역 5번출구 도보 3분입니다!!주소: 서울 중구 마른내로 155 광희동금호트윈오피스텔 2동 901호 (방문전 연락주세요!) 평일: 오후 1시 ~ 오후 9시(주말/공휴일은 휴무입니다!)택배거래: 택배사: 로젠택배 평일 오후 4시 이전 주문시 당일 발송 가능 퀵거래: 접수 가능, 퀵요금 고객 부담!••••••••••••갤럭시 s10••••••••••••SS급 :  289,000원 S급 :  269,000원 A급 : 249,000원 B급 : 209,000원••••••••••••상품 상세 정보••••••••••••상품명: 갤럭시 s10용량: 128GB색상:프리즘블랙,프리즘화이트,프리즘그린,플라밍고핑크구성 : 휴대폰통신사 : SKT/KT/LGU+3사 유심변경가능 (사용하던 유심 바로 꽂아 사용가능)25%약정할인가능 ••••••••••••상품 등급 안내••••••••••••SS급: 사용감이 거의 없는 새폰 같은 상품! S급: 전체적으로 아주 깨끗한 상품! A급: 외관 사용감 다소 있지만 가장 많이 선호하는 등급!!B급: 외관 사용감 많고 강한 잔상이 있는 상품, 가성비짱!C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!••••••••••••필독사항••••••••••••* 전문 엔지니어팀이 외관&기능 정밀 검수 후 출고!* 문의하실 때 상품번호를 알려주시면 신속한 상담 가능!* 구매일로부터 7일 이내 기능 이상이 발생 시 교환 또는 환불 가능(고객 과실에 의한 부분 제외)* 단순변심으로 인한 교환/환불 불가합니다!* 분실/도난 핸드폰은 판매하지 않습니다!* 사용하시던 중고폰 최고가로 매입해드립니다!••••••••••••연락 방법••••••••••••채팅 또는 전화/문자 상담 가능합니다!전화번호 : 01o 9976 4926궁금하신 사항이 있으시면 언제든지 연락주세요!"
[선약가능] 아이폰12미니 자급제 풀박스 64GB 블랙,"599,000",1시간 전,"상세 설명• 실사 1년 넘음• 배터리 효율 91%• 제한 보증 만료• 정품 박스 USB-C-라이트닝 케이블 전품목 보유• 25% 요금할인(선택약정) 가입 가능 단말기• 후면유리 약간의 생활기스 외 사설수리x 파손x• 기기 구입 후 바로 유심칩 꽂아서 사용 가능📦 수도권 택배는 무료배송 📦입금 완료 후, 교환 환불x구매의사 있는 분들만 번톡 주십쇼교신 네고는 절대 안 하니 번톡 오는 순간 차단합니다"
갤럭시노트10+플러스 256GB 8196,"250,000",1시간 전,"기기명 / 용량 / 색상 : 갤럭시노트10+플러스 256GB 글로우통신사: KT 최초통화일 : 2019.08제품상태 : 공기계, 선택약정 가능제품설명 : 액정과 뒷면 파손없고 앞면에 기스가 있습니다.약간의 잔상있고 화면에 미세한점 있으나 사용시 지장없으며 검은 점은 시간이 지나도 크기변화 없습니다. 모든 기능 테스트를 마쳤으며  정상작동 합니다.LTE 요금제 사용하시면 그대로 쓸 수 있고,타통신사 및 알뜰유심 장착하면 사용 할 수 있습니다.☆상품문의 O1O-8061-8026◎모든 제품은 구매시 소독하여 발송합니다◎거래방식직거래:인천 주안역택배거래:평일 16:00이전 입금확인시 당일발송"
당일발송# 아이폰6S 16G/32G/64G 등급별 중고폰 공기계,"115,000",2주 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!           💟5월 1일~ 5~31일 한정 후기 이벤트💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]💟💟  아이폰 6S  💟💟⭕️SS급 : 16G - 13.2만원                 32G - 14.3만원                 64G - 14.9만원 [미세한 생활기스만 있는 새폰 컨디션!]⭕️S급 : 16G - 11.9만원               32G - 13.2만원               64G - 13.8만원[SS급 컨디션에서 미세 사용감 있음!]⭕️A급 : 16G - 11.5만원               32G - 12.7만원               64G - 13.2만원[사용감있지만 기능&가성비 최고!]⭕️ B급 :  16G - 재고없음                32G - 재고없음                64G - 재고없음[ 전체적인 중고감 & 액정에 잔상및 기스가 있는 제품]🔎 상품상세 🔎•색상 : 로즈골드,스페이스그레이,실버,골드•기가수 :  16G/64G•구성 : 휴대폰•통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)•정상해지/확정기변/25%약정할인가능 🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전📞)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후9시      주말:오후 13:00시부터~오후8시                    ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
갤럭시S20울트라 G988 256기가 블랙 인천 서구 중고폰,"340,000",1시간 전,"1.제품정보-기기명: 갤럭시S20울트라 SM-G988L​-색상: 블랙 (63970)-최초 개통 통신사: LG (SK/KT/LG/알뜰폰/선불폰 호환가능)-최초 개통일: 20년 4월-구성품:기기단품+필름+케이스​2.제품설명외관상태는 테두리,뒷면 사용감있고 유리쪽은 깨긋합니다.액정화면은 크게 티나지 않는 약한 잔상 조금 있습니다.모든 기능 정상입니다.​3.거래방식직거래(인천 서구 석남동 청라 중고폰)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장"
갤럭시와이드5 E426 128기가 블랙 인천 서구 중고폰,"170,000",1시간 전,1.제품정보-기기명: 갤럭시와이드5 SM-E426S 128기가​-색상: 블랙 (46810)-최초 개통 통신사: SK (SK/KT/LG/알뜰폰/선불폰 호환가능)-최초 개통일: 22년 3월-제품상태: 사용감있음-구성품:기기단품+필름+케이스​2.제품설명외관상태는 테두리와 뒷면 사용감외 전체적으로 깨긋합니다.액정화면은 새액정 교체로 상태좋습니다.모든 기능 정상입니다.​3.거래방식직거래(인천 서구 청라)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장
노트10플러스 N976 256기가 아우라글로우 인천 서구 중고폰,"320,000",1시간 전,1.제품정보-기기명: 노트10플러스 SM-N976S​-색상: 아우라글로우 (16706)-최초 개통 통신사: SK (SK/KT/LG/알뜰폰/선불폰 호환가능)-제품상태: 사용감있음-구성품:기기단품+필름+케이스​2.제품설명외관상태는 테두리 약한 사용감외 전체적으로 깨긋합니다.액정화면은 잔상없고 화면 이상없습니다.모든 기능 정상입니다.​3.거래방식직거래(인천 서구 석남동)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장
갤럭시S20 A급 G981 128기가 그레이 인천 서구 중고폰,"290,000",1시간 전,"1.제품정보-기기명: 갤럭시S20 SM-G981L 128기가​-색상: 그레이 (91872)-최초 개통 통신사: LG (SK/KT/LG/알뜰폰/선불폰 호환가능)-최초 개통일: 20년 8월-제품상태: A-급-구성품:기기단품+필름+케이스​2.제품설명외관상태는 테두리,뒷면 미세한 생활잔기스 외 전체적인 상태 깨끗합니다.액정화면은 잔상없고 화면 깨끗합니다.그외 모든 기능 정상입니다.​3.거래방식직거래(인천 서구 중고폰)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로 177 (석남동 581-14) 1층 휴대폰할인매장"
#대량판매# 갤럭시S21플러스 256G 등급별 중고폰 공기계!,"435,000",2주 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!💟후기 이벤트[후기작성을 약속해 주세용!!]💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]💟💟   갤럭시 S21 플러스   💟💟⭕️SS급 : 256G - 50.5만원[새 폰 처럼 보이는 MAGIC!]⭕️S급 : 256G -  48.5만원[완전깨끗한S급!]⭕️A급 : 256G - 43.5만원[사용감있지만 기능&가성비 최고!]⭕️B급 : 256G -  당분간없음[ 전체적인 중고감 & 액정에 잔상및 기스가 있는 제품]🔎 상품상세 🔎•색상 : 실버,핑크,바이올렛•기가수 :  256G•구성 : 휴대폰•통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)•알뜰폰[유심만 변경하면 바로 사용 가능]🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전📞)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후9시      주말:오후 13:00시부터~오후8시                    ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
(새상품) 아이폰13 프로맥스 128기가 미개봉 알파인그린,"1,360,000",1시간 전,새상품 미개봉 아이폰 13 프로맥스 128기가 알파인그린입니다.현재 아이폰 13프로 사용중이라 판매해요목포시 석현동 직거래 혹은 택배거래 해요제조년 22년 6월 신상입니다!
아이폰 13프로 골드 128 미개봉 판매합니다,"1,150,000",1시간 전,미개봉입니다 연락주세요
갤럭시노트10플러스 512,"350,000",1시간 전,노트10플러스 512 팔아요.12기가 넘사벽 메모리넓은 화면아름다운 아우라글로우 직접 보시구 가셔가시면 제일 좋습니다. 생활기스 정도 있구요 나머지다 정상 작동 됩니다. 대구 직거래 환영합니다
갤럭시A31 A315 64기가 블랙 인천 서구 중고폰,"110,000",1시간 전,1.제품정보-기기명: 갤럭시A31 SM-A315L 64기가​-색상 : 블랙 (38942)-최초개통일: 20년 7월-구성품: 기기단품+필름+케이스​2.제품설명외관상태는 약한 사용감외 전체적으로 찍힘없이 깨긋합니다.액정화면도 잔상없고 화면 깨끗합니다.그 외에 모든 기능 정상입니다.​3.거래방식직거래(인천 서구 석남동 청라 중고폰)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장
#한정판매# 아이폰11프로 256GB 그린 S급 중고폰 공기계 69083,"605,000",2일 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!           💟한정 후기 이벤트💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]♨대량구매 문의 대환영♨용량: 256GB색상:그린제품등급:S급최초통화일: 위 사진상태: 사진 그대로 판매중입니다! ⚠️통신사 : SKT/KT/LGU+3사 유심변경가능 / 알뜰폰 유심 사용가능!(사용하던 유심 바로 꽂아 사용가능)🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다📦번개페이📦번개장터 번개페이 결제시※ 반드시 판매자 사전 협의 이후 결제 부탁 드립니다 ※📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전??)★ 직거래 구매시 매장 방문 시간은 ★  평일:오전 11:00시부터~오후7시30분 💟💟13:00~14:30 점심시간입니다. [해당시간만 피해주세요!]💟💟                  ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
[최저가] 삼성 갤럭시 S9 플러스 SM-G965N 256기가,"190,000",1시간 전,"삼성 갤럭시 S9 플러스 입니다내장 메모리 256기가 입니다 SK 향 입니다3사 유심 호환 가능 합니다스크레치 아주 약간 있는 정도 이고 화면 번인 아주 약간 있습니다 살균, 소독 완료 된 상품 입니다 모든 기능 정상 입니다추가 구성품 없이 단품 입니다유심 넣으면 바로 사용 가능 합니다 믿고 구매 하셔도 됩니다!!중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 입니다부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 택배비는 착불 또는 3000원 추가 입니다편의점 택배를 이용하기 때문에 택배비는 저렴 합니다 톡 주시거나 olo 2852 o668로 전화 말고 문자 연락 주세요^^"
82629 아이폰7 블랙 32GB 배터리100% 12만원 울산중고폰 애플,"120,000",1시간 전,"​<울산 중고폰 최저가 판매>중고나라 제휴파트너 울산 중고폰언니 삼산점 입니다.​제품정보모델명/색상/용량 : 아이폰7 블랙 32GB​( SK / KT / LG / 알뜰폰 모두 유심만 꽂으시면 사용가능)​가격 : 12만원.(계좌이체 특별가격)​​제품설명바디테두리 미세한흠집/전면생활감 외에 다른 큰 흠집없이깨끗한 기기이며, 잔상이나 기능하자 일체없이모든기능 정상으로 작동하는 컨디션 매우 좋은 기기입니다^^.(배터리 성능 : 100%)​상품 번호 : 82629( 문의 주실때 말씀주시면 더욱 빠른 응대가 가능합니다.) ​선택약정 : 지금 받고 계시면 유심 변경시 그대로 적용 가능​​거래방식울산 남구 삼산동 직거래 가능합니다.직거래 주소 : 울산 남구 화합로 175, 1층 중고폰 언니.(업스퀘어 부근)전지역 택배 , 퀵, 탁송 거래 가능합니다.(퀵.탁송비 거리에 따라 별도 ,택배비 3000원 별도 입니다.)평일 오후5시 전, 토요일 오후2시 전에 입금해주시면, 꼼꼼하게 에어캡으로 포장하여로젠 택배로 발송하며, 당일 출고 합니다^^!​​매장 정보주소 : 울산 남구 화합로175, 1층 중고나라 남구점(중고폰 언니)"
갤럭시S20플러스 G986 256기가 클라우드블루 인천 서구 중고폰,"290,000",1시간 전,1.제품정보-기기명: 갤럭시S20플러스 SM-G986S​-색상: 클라우드블루 (86693)-최초 개통 통신사: SK (SK/KT/LG/알뜰폰/선불폰 호환가능)-최초 개통일: 20년 4 월-구성품:기기단품+필름+케이스​2.제품설명외관상태는 유리쪽 약간의 잔기스외 전체적으로 깨긋합니다.액정화면은 별잘 보이지 않는 미세한 잔상 조금 있습니다.모든 기능 정상입니다.​3.거래방식직거래(인천 서구 석남동 청라 중고폰)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장
갤럭시노트10+플러스 256GB A급 4179,"300,000",1시간 전,"기기명 / 용량 / 색상 : 갤럭시노트10+플러스 256GB 글로우통신사: KT 최초통화일 : 2019.09제품상태 : 공기계, 선택약정 가능제품설명 : 액정과 뒷면 파손없습니다.미세한 잔상있고 모든 기능 테스트를 마쳤으며  정상작동 합니다.LTE 요금제 사용하시면 그대로 쓸 수 있고,타통신사 및 알뜰유심 장착하면 사용 할 수 있습니다.☆상품문의 O1O-8061-8026◎모든 제품은 구매시 소독하여 발송합니다◎거래방식직거래:인천 주안역택배거래:평일 16:00이전 입금확인시 당일발송"
