폰모델 제목,가격,등록시간,내용
갤럭시노트10플러스 256GB 실버,"265,000",6일 전,"▲갤럭시노트10플러스 256GB 실버외관은 생활찍힘 있으며 잔상 있는 갤럭시노트10플러스 256GB 실버 색상 입니다. 자세한 외관 상태는 첨부한 사진을 참고해 주시면 감사하겠습니다~저희는 중고폰 판매 전문 상점으로서, 중고폰 기능 검사에 많은 시간을 투자하고 있으며, 상품 외관 및 기능 하자를 최대한 자세히 설명 드리고 정직하게 판매하기 위해 노력하고 있습니다!상품 외관은 사진을 참고해 주시고, 아래 저희가 중점적으로 살펴보는 기능 검사표를 첨부 하였으니, 구매전에 참고해 주시면 감사하겠습니다^^(본 기기는 정상해지된 공기계입니다.)▲구성품a) 기기 본체▲상세정보a) 품명:갤럭시노트10플러스b) 가격: 265000c) 색상: 실버d) 용량: 256GBe) 출시통신사: LGf) 사용 가능 통신사: 3사 공용,g) 유심사이즈: 나노 유심h) 확정기변: 가능i) 선택약정 (요금할인25%): 가능▲기능 테스트 결과a) LCD: 양호b) 유심 인식: 양호c) 지문 인식: 양호d) 조도 센서: 양호e) 전면부 카메라: 양호f) 후면부 카메라: 양호g) 와이파이: 양호h) 진동: 양호i) 외부 스피커: 양호j) 플래쉬: 양호▲직거래지역: 경기도 김포,일산(김포골드라인 사우(김포시청)역 3번출구) (3호선 주엽역 5번 출구)▲택배거래택배거래 가능하며 배송비는 3,500원 입니다. (선불/착불 선택 가능)"
[최저가] 삼성 갤럭시 노트8 SM-N950N,"125,000",1시간 전,"삼성 갤럭시 노트8 입니다​SK 향 입니다 3사 유심 호환 가능 합니다​기스, 찍힘 및 스크레치 있고 화면 번인 약간 있습니다 살균, 소독 완료 된 상품 입니다 ​모든 기능 정상 입니다​추가 구성품 없이 단품 입니다​유심 넣으면 바로 사용 가능 합니다   ​믿고 구매 하셔도 됩니다!!중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 입니다​부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 ​택배비는 착불 또는 3000원 추가 입니다​편의점 택배를 이용 해서 택배비는 저렴 합니다톡 주시거나 ***-****-****로 전화 말고 문자 연락 주세요^^"
갤럭시S9플러스 G965 64기가 블루 인천 서구 중고폰,"150,000",1시간 전,1.제품정보-기기명: 갤럭시S9플러스 SM-G965S​-색상: 블루 (53656)-최초 개통 통신사: SK (SK/KT/LG/알뜰폰/선불폰 호환가능)-최초 개통일: 18년 4 월-구성품:기기단품+필름+케이스​2.제품설명외관상태는 테두리쪽 약간의 사용감외 전체적으로 깨긋합니다.액정화면은 별로 티나지 않는 약한잔상 살짝있습니다.모든 기능 정상입니다.​3.거래방식직거래(인천 서구 석남동 청라 중고폰)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장
[최저가] 삼성 갤럭시 J7 2017 SM-J730K,"70,000",1시간 전,"삼성 갤럭시 J7 2017 입니다​KT 향 입니다 3사 유심 호환 가능 합니다​기스, 찍힘 및 스크레치 있습니다 화면 잔상 없이 깨끗 합니다 살균, 소독 안료 된 상품 입니다​모든 기능 정상 입니다​추가 구성품 없이 단품 입니다​유심 넣으면 바로 사용 가능 합니다 ​70000원에 판매 합니다​믿고 구매 하셔도 됩니다!!중고폰 특성 상 사용 감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 입니다​부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 ​택배비는 착불 또는 3000원 추가 입니다​편의점 택배를 이용 해서 택배비는 저렴 합니다​톡 주시거나 olo 2852 o668로 전화 말고 문자 연락 주세요^^"
아이폰12mini 색상교환,100,1시간 전,-아이폰12미니 64g 블루 -배터리 성능 100 -외관 상 하자 없습니다!휴대폰 구매한지 한 달 조금 넘었어요! 비슷한 조건 12미니 블랙으로 색상교환해요 12프로 그래파이트 추금 지불하고도 교환해요! 추금 적어서 번개톡 주세용!지역은 서울입니다!궁금하신 거 있으시면 편하게 번개톡 주세요!
Z플립3  [블랙]  59616  (S급),"650,000",3일 전,"no.59616○등급 : S급○용량 : 256GB○색상 : 블랙○최초통신사 : LG U+○최초통화일 : 21.11.23°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°●제품설명●모든 성능 및 기능 정상작동 검수 후 판매해요외관 약간 사용감 존재하는 ""S급"" 이구요잔상,번인현상없이 화면 깨끗하게 잘 나와요사진 그대로 상태고, 색상 고급스럽게 출시돼서 예뻐요SKT / KT / LG U+ 3사 통신사 전부 사용 가능하며알뜰유심, 선불유심 전부 사용 가능합니다~25% 선택약정 요금할인 가능한 기기예요~°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°●제품실사만 촬영후 업로드●모든 제품 입고후 세척후 보관●믿을수 있는 오프라인 매장 운영 전문 상점●상담시간 오전10시~새벽3시°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°■인증 포토 후기 작성시 사은품 증정■[필름,케이스,그립톡,유심핀,벌크충전기]■직거래 홍대입구역 2번출구 매장■택배가능 지방 버스퀵 가능●●당근폰의 다른 상품 둘러보기●●http://shop.bunjang.co.kr/dgphone"
[센터리퍼] 갤럭시S21 256G 화이트 LG #교체후미사용,"440,000",1시간 전,"⭐무 료 배 송⭐⭐당 일 접 수⭐⭐후기작성 사은품⭐(투명케이스, 충전기, 보호필름, 그립톡, 유심핀, 무료배송)659217📱모델: 갤럭시S21📱용량: 256기가📱색상: 화이트📱최초통신사:  LG (3사호환가능)  25%요금할인가능📱최초통화일 :2021.05.14📱제품상태 :액정, 바디,배터리,뒷판 전부 센터교체된제품입니다.뒷판기존제품 입니다. 뒷판 미세한 생활기스 있습니다.교체후 미사용제품 입니다.(사진 확인해주세요)📱구성품-기기단품+@구매후 후기작성시 케이스,필름,충전기 같이 드립니다~!⭐거래방식 ⭐✔️택배거래: 로젠택배 발송(택배비 무료)✔️퀵,화물거래: 당일수령 ( 퀵,화물비 본인부담)✔️직거래: 서울 영등포구 문래동6가19 ✔️당일배송 **오전10시~ 오후6시 주문건은 당일접수출고 됩니다**연락가능한시간 : 오전10시~ 저녁7시전화문의 0 1 0 7 5 9 7 1 1 9 1번개톡 /  전화문의 가능합니다⭐중고폰 구입후 90일 제품보증⭐✔️상담시간 오전10시~오후6시 (그외 시간은 답변이 늦거나 익일답변드립니다)✔️자세한문의는 톡으로 주시면 최대한빠른 답변해드리겠습니다.✔️전제품 세척하여 포장해서 드립니다~"
갤럭시A90 A급 A908,"180,000",1시간 전,1.제품정보-기기명: 갤럭시A90 SM-A908L 128기가​-색상: 화이트 (03612)-최초 개통 통신사: LG (SK/KT/LG/알뜰폰/선불폰 호환가능)-최초 개통일: 20년 1월-제품상태: A급-구성품:기기단품+필름+케이스​2.제품설명외관상태는 테두리 미세한 사용감 외 전체 깨끗합니다.액정화면은 잔상없고 화면 이상없습니다.모든 기능 정상입니다.​3.거래방식직거래(인천 서구 청라 중고폰)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로 177 (석남동 581-14) 1층 휴대폰할인매장
갤럭시S8 오키드그레이 64GB 정상해지 공기계 팝니다 66864,"130,000",1시간 전,"📌 제품정보 📌- 모델명 : 부산 G950- 용량 : 64GB- 최초통신사 : SK ( SK / KT / LG / 알뜰폰 모두 유심만 꽂으면 사용가능 )- 구성품 : 케이스 + 필름 ( 보유중인 기종만 가능 ) - 기능 : 안되는거 없이 전부 다 잘됩니다 - 선택약정 : 지금 받고 계시면 유심 변경시 그대로 적용 가능 📌 제품설명 📌 제품 사진 100%  실사입니다외관 상태 사진과 동일합니다화면에 기스있어서 UV강화필름 붙혀놔서 티안나고 작동 잘 됩니다 ^^)확정기변 가능한 정상해지 공기계 입니다안 되는 거 없이 전부 다 됩니다- 상품 번호 : 66864( 상품번호 알려주시면 빠른 확인 가능합니다 )* 가격조정 절대 불가, 네고 문의 사절 ** 중고거래 특성상 단순변심/고객과실은 교환 및 환불 불가 ** 기능적인 문제 있는 경우 1주이내 교환/환불 가능 *📌 거래방식 📌- 직거래 or 택배 or 퀵 ( 배송비 별도 )- 직거래 주소 : 부산 금정구 부산대학로 45-1 CU편의점 지하 1층 중고폰 매장- 연락처 : 0 1 0 - 5 7 8 7 - 4 3 0 2- 전화 / 문자 / 카톡 모두 문의 가능합니다.- 댓글 문의는 확인이 어렵습니다.- 업로드 안 된 기기 문의 가능 - 원하는 조건 (기종, 색상 등) 말씀 해 주시면 찾아드립니다- 부산중고폰 매장이라 다른기종들도 많습니다"
습득폰 주운폰 분실ㅍ 현금 최고가 매입,"1,000,000",1시간 전,텔레 lalapon911수도권 직거래 현금 고가 매입분실ㅍ 습득폰 주운폰친절 상담 연락주세요~
#한정판매# 아이폰8플러스 64GB 레드 중고폰 공기계 [65792],"265,000",32분 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!        💟후기 이벤트[후기작성을 약속해 주세용!!]💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]♨대량구매 문의 대환영♨[제품정보]     용량: 64G색상: 레드제품등급: A급배터리 효율: 위 사진상태: 상세사진 참고⚠️통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)⚠️확정기변/25%약정할인가능(알뜰유심,선불유심 전부사용가능) 문의주세용!!🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡💙모든거래 선 결재 후 배송입니당! 유의해주세용💙📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📦번개페이📦번개장터 번개페이 결제시※반드시 판매자 사전 협의이후 결제 부탁 드립니다※📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전??)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후7시 30분     주말:오후 13:00시부터~오후6시 30분💟💟13:00~14:00 점심시간입니다. [해당시간만 피해주세요!]💟💟                 ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는w       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
갤럭시A31 A급 A315 64기가 화이트 인천 서구 중고폰,"120,000",1시간 전,1.제품정보-기기명: 갤럭시A31 SM-A315L 64기가​-색상 : 화이트 (64587)-최초개통일: 20년 5월-구성품: 기기단품+필름+케이스​2.제품설명외관상태는 딱히 흠잡을곳 없고 전체적으로 상태 깨끗합니다.액정화면도 잔상없고 화면 깨끗합니다.그 외에 모든 기능 정상입니다.​3.거래방식직거래(인천 서구 석남동 청라 중고폰)/택배(우체국택배:4천원) 가능합니다.​4.매장위치인천 서구 가정로177 (석남동581-14) 1층 휴대폰할인매장
[최저가] 삼성 갤럭시 노트9 SM-N960N.,"190,000",1시간 전,"삼성 갤럭시 노트9 입니다SK 향 입니다3사 유심 호환 가능 합니다찍힘 및 스크레치 약간 있고 화면 번인 아주 약간 있습니다 살균, 소독 완료 된 상품 입니다 모든 기능 정상 입니다추가 구성품 없이 단품 입니다유심 넣으면 바로 사용 가능 합니다 190000원에 판매 합니다믿고 구매 하셔도 됩니다!!중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 입니다부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 택배비는 착불 또는 3000원 추가 입니다편의점 택배를 이용하기 때문에 택배비는 저렴 합니다 톡 주시거나 olo 2852 o668로 전화 말고 문자 연락 주세요^^"
[최저가] 삼성 갤럭시 S9 플러스 SM-G965N 256기가..,"165,000",1시간 전,"삼성 갤럭시 S9 플러스 입니다내장 메모리 256기가 입니다 LG U+ 향 입니다3사 유심 호환 가능 합니다기스, 스크레치 약간 있고 화면 번인 있습니다 살균, 소독 완료 된 상품 입니다 모든 기능 정상 입니다추가 구성품 없이 단품 입니다유심 넣으면 바로 사용 가능 합니다 믿고 구매 하셔도 됩니다!!중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 입니다부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 택배비는 착불 또는 3000원 추가 입니다편의점 택배를 이용하기 때문에 택배비는 저렴 합니다 톡 주시거나 olo 2852 o668로 전화 말고 문자 연락 주세요^^"
[최저가] 삼성 갤럭시 노트8 SM-N950N.,"95,000",1시간 전,"삼성 갤럭시 노트8 입니다​LG U+ 향 입니다 3사 유심 호환 가능 합니다​스크레치 아주 약간 있는 정도 입니다 전면 유리 기스 없이 깨끗 하고 화면 번인 있습니다 살균, 소독 완료 된 상품 입니다 ​모든 기능 정상 입니다​추가 구성품 없이 단품 입니다​유심 넣으면 바로 사용 가능 합니다   ​믿고 구매 하셔도 됩니다!!중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 입니다​부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 ​택배비는 착불 또는 3000원 추가 입니다​편의점 택배를 이용 해서 택배비는 저렴 합니다​톡 주시거나 olo 2852 o668로 전화 말고 문자 연락 주세요^^"
노트10플러스  [블랙]  59714  (S급),"360,000",3일 전,"no.59714○등급 : S급○용량 : 256GB○색상 : 블랙○최초통신사 : LG U+○최초통화일 : 19.09.27°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°●제품설명●노트10+ 블랙색상 이예요외관 약간의 사용감 존재하는 ""S급"" 상태예요기능 성능상태 전부 검수하고 판매해요SKT / KT / LG U+ 통신사 전부 사용 가능하고,알뜰유심,선불유심,4G,5G 유심 전부 사용 가능해요°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°●제품실사만 촬영후 업로드●모든 제품 입고후 세척후 보관●믿을수 있는 오프라인 매장 운영 전문 상점●상담시간 오전10시~새벽3시°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°■인증 포토 후기 작성시 사은품 증정■[필름,케이스,그립톡,유심핀,벌크충전기]■직거래 홍대입구역 2번출구 매장■택배가능 지방 버스퀵 가능●●당근폰의 다른 상품 둘러보기●●http://shop.bunjang.co.kr/dgphone"
[최저가] 삼성 갤럭시 S9 플러스 SM-G965N 256기가.,"165,000",1시간 전,"삼성 갤럭시 S9 플러스 입니다내장 메모리 256기가 입니다 KT 향 입니다3사 유심 호환 가능 합니다기스, 찍힘 및 스크레치 약간 있고 화면 번인 아주 약간 있습니다 살균, 소독 완료 된 상품 입니다 모든 기능 정상 입니다추가 구성품 없이 단품 입니다유심 넣으면 바로 사용 가능 합니다 믿고 구매 하셔도 됩니다!!중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 입니다부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 택배비는 착불 또는 3000원 추가 입니다편의점 택배를 이용하기 때문에 택배비는 저렴 합니다 톡 주시거나 olo 2852 o668로 전화 말고 문자 연락 주세요^^"
[최저가] 삼성 갤럭시 A30 SM-A305N,"90,000",1시간 전,"삼성 갤럭시 A30 입니다LG U+ 향 입니다스크레치 약간 있고 화면 번인 약간 있습니다 살균, 소독 완료 된 상품 입니다 모든 기능 정상 입니다추가 구성품 없이 단품 입니다유심 넣으면 바로 사용 가능 합니다 믿고 구매 하셔도 됩니다!!중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 입니다부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 택배비는 착불 또는 3000원 추가 입니다편의점 택배를 이용하기 때문에 택배비는 저렴 합니다 톡 주시거나 olo 2852 o668로 전화 말고 문자 연락 주세요^^"
아이폰13프로 알파인그린 256GB 자급제 미개봉,"1,300,000",1시간 전,"자급제 미개봉입니다.바로 유심 꽂아서 사용하시면됩니다색상 :) 알파인그린램 :) 6기가저장용량 ;) 256기가몇달 몇일 사용 믿지마시고 미개봉사서 마음 편히 사용하세요!!정품아닐시 100% 환불가능합니다직거래는 : 경기도 안양 입니다.안전결제 가능합니다🙋‍♂️택배거래도 가능합니다! ( 일반택배, 반값택배)택배도 당일에 바로 배송을 보내드립니다🙇‍♂️택배 2중포장으로  안전하게해서 보내드립니다 운송장도 바로 보내드립니다.사기꾼들이 많은데 다른곳에서 사기당하지마시고 저한테 구매하세요!🥰🥰판매내역보시면 거래내역 많습니다 .개인 판매자 입니다. 궁금하신건 연락주시면 알려드릴게요!🙋‍♂️🙋‍♂️"
갤럭시s22플러스+ 화이트 256GB 자급제 미개봉,"890,000",1시간 전,"자급제 미개봉입니다.바로 유심 꽂아서 사용하시면됩니다색상 :) 화이트램 :) 8기가저장용량 :) 256기가정품아닐시 100% 환불가능합니다직거래는 : 경기도 안양 입니다.안전결제 가능합니다🙋‍♂️택배거래도 가능합니다! ( 일반택배, 반값택배)택배도 당일에 바로 배송을 보내드립니다🙇‍♂️택배 2중포장으로  안전하게해서 보내드립니다 운송장도 바로 보내드립니다.사기꾼들이 많은데 다른곳에서 사기당하지마시고 저한테 구매하세요!🥰🥰판매내역보시면 거래내역 많습니다 .개인 판매자 입니다. 궁금하신건 연락주시면 알려드릴게요!🙋‍♂️🙋‍♂️"
노트20  [브론즈]  53469  (A급),"380,000",3일 전,"no.53469○등급 : A급○용량 : 256GB○색상 : 브론즈○최초통신사 : KT○최초통화일 : 20.10.30°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°●제품설명●기기상태는 사진과 동일해요외관 사용감 존재하는 ""A급"" 상태구요성능 빠릿하고 좋구요 특히 카메라 정말 좋아요!기능적으로 이상없이 전부 정상작동 잘 되구요~SKT / KT / LG U+ 상관없이 모든 통신사 사용 가능하고,알뜰유심,선불유심도 사용 가능합니다 !25% 선택약정 요금할인 가능한 기기예요~°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°●제품실사만 촬영후 업로드●모든 제품 입고후 세척후 보관●믿을수 있는 오프라인 매장 운영 전문 상점●상담시간 오전10시~새벽3시°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°■인증 포토 후기 작성시 사은품 증정■[필름,케이스,그립톡,유심핀,벌크충전기]■직거래 홍대입구역 2번출구 매장■택배가능 지방 버스퀵 가능●●당근폰의 다른 상품 둘러보기●●http://shop.bunjang.co.kr/dgphone"
아이폰xs 64기가,"220,000",1시간 전,"😀필독😀사진, 게시글 꼭 확인해주세요!사진의 빛은 조명 불빛입니다!😐상품설명❣ 모델명 : 아이폰xs❣ 용량 : 64GB❣ 색상 : 골드❣ 구성 : 기기단품+필름+케이스❣ 기능 : 페이스아이디X 그외 모두정상❣ 상태 : 외관상태 아주 좋습니다~❣ 택배 : 우체국 택배💥구매자님들의 사기피해 방지를 위해 공식인증을 거쳐 판매중 입니다💥L G / S K / K T / 알 뜰 폰 / 선 불 폰 유심사용가능합니다직 거 래ㆍ택 배 거 래ㆍ화 물 택 배ㆍ퀵 가능* 오후 4시 전 입금 건 당일 택배 발송 *🎈 월~금 모든 기기는 정상적인 기능 테스트를 거쳐 정상작동 확인 후 판매합니다★ 단 순 변 심 , 게시글 내용 미확인 교환/환불 불가합니다 ★* 올린 기기말고도 많은 기계들이 있으니 찾으시는 기기 문의주세요 ☎📞"
"갤럭시노트10+플러스 512GB 0184,9011","245,000",1시간 전,"기기명 / 용량 / 색상 : 갤럭시노트10+플러스 512GB 글로우/블랙통신사: KT 최초통화일 : 2019.08-0184 / 2019.10-9011제품상태 : 공기계, 선택약정 가능제품설명 : 액정과 뒷면 파손없습니다.미세한 잔상있고 화면에 작은점 있으나 사용시 지장 없으며검은 점은 시간이 지나도 크기변화 없습니다.모든 기능 테스트를 마쳤으며  정상작동 합니다.LTE 요금제 사용하시면 그대로 쓸 수 있고,타통신사 및 알뜰유심 장착하면 사용 할 수 있습니다.☆상품문의 O1O-8061-8026◎모든 제품은 구매시 소독하여 발송합니다◎거래방식직거래:인천 주안역택배거래:평일 16:00이전 입금확인시 당일발송"
아이폰 SE 2 128GB 정상해지 A급 저렴,"250,000",1시간 전,아이폰 SE 2 128GB 정상해지 A급 저렴 - 25만원블랙 / 알뜰폰 포함 모든통신사 호환됩니다앞면 기스없이 깔끔  / 테두리 깔끔  / 뒷면 깔끔  화면 무잔상 번인 없습니다기능 정상  - 배터리 효율 85% -선택약정 25%요금할인 가능합니다 정상적으로 해지된 확정기변 전산기변 가능한상태입니다유심끼우시고 바로 쓰실수 있습니다 개통일 2020년 5월 29일  ​거래방식은 직거래 택배거래 가능합니다 직거래는 서울 마포 공덕역 가능합니다새벽2시까지는 거래가능합니다 빠른거래 우선입니다 확실한 거래 약속 부탁드립니다!!연락처 : o1o .3936. 4841
[최저가] LG G프로2 LG-F350S A급,"50,000",1시간 전,"LG G프로2 입니다SK 향 입니다KT 유심 호환 가능 합니다 전체적으로 A급 상태 입니다 살균, 소독 완료 된 상품 입니다 모든 기능 정상 입니다추가 구성품 없이 단품 입니다유심 넣으면 바로 사용 가능 합니다 50000원에 판매 합니다믿고 구매 하셔도 됩니다!!중고폰 특성 상 사용감, 제품 스펙, 배터리 성능, 변심 으로 인한 환불 불가 입니다부산 사상구 덕포동 신라대 근처 직 거래 또는 택배 거래 가능하며 택배비는 착불 또는 3000원 추가 입니다편의점 택배를 이용하기 때문에 택배비는 저렴 합니다 톡 주시거나 olo 2852 o668로 전화 말고 문자 연락 주세요^^"
#한정판매# 아이폰12 128GB 그린 중고폰 공기계[69149],"655,000",4시간 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!           💟한정 후기 이벤트💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]♨대량구매 문의 대환영♨용량: 128GB색상:그린제품등급:SS급최초통화일: 위 사진상태: 사진 그대로 판매중입니다! ⚠️통신사 : SKT/KT/LGU+3사 유심변경가능 / 알뜰폰 유심 사용가능!(사용하던 유심 바로 꽂아 사용가능)🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다📦번개페이📦번개장터 번개페이 결제시※ 반드시 판매자 사전 협의 이후 결제 부탁 드립니다 ※📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전??)★ 직거래 구매시 매장 방문 시간은 ★  평일:오전 11:00시부터~오후7시30분 💟💟13:00~14:30 점심시간입니다. [해당시간만 피해주세요!]💟💟                  ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
