폰모델 제목,가격,등록시간,내용
배터리100 A+급 아이폰X 64G 실버 (995),"260,000",1시간 전,"안녕하세요 LL모바일 입니다!     좋은상품과 친절한 서비스로 보답하겠습니다.    LL모바일 프로필 누르시고 상품 누르시면         올려놓은상품 전~~부 보입니다!      ●모델 : 아이폰X 64G      ●통신 : (3사호환가능)      ●색상 : 실버      ●기능 : 이상없음      ●상태 : A+급(액정사설수리 되었습니다)      ●가격 : 26만원      ●구성 : 기기+액정보호필름+투명젤리케이스      ‣ 해당제품은 정상해지 공기계 입니다     ‣ 모든 기능 / 침수 이상없는 제품입니다    ‣ 핸드폰 구입시 기존핸드폰 고가 매입합니다                        ▶후기EVENT◀                    후기를 작성해주시면        이 모든 사은품을 만원에 챙겨드립니다     (강화필름/케이스/케이블/어답터/그립톡/               유심핀/무선충전기/보조배터리)            ▶액정보호필름 할인EVENT◀  아이폰구매자에 한해서 저렴히 판매합니다                  풀커버필름 : 3,000원               프라이버시필름 : 5,000원                          ‣거래방법   ‣직거래:분당 서현역매장(자세한 위치는                   번개채팅으로 문의부탁드립니다)  ‣택배거래:배송비3천원(09:00 ~ 15:00                   결제완료 택배건은 당일출고됩니다)                    그외:지하철퀵/오토바이퀵                    본인부담으로 가능합니다 ‣예약거래 :예약을 원하시는분께서는 판매가의                    20% 선입금완료시                  다른 구매희망자에게 판매가 보류되며,                 구입시 예약금을 제외한 차액만                   결제해주시면 됩니다.            (단,예약 후 구매안할시 예약금은                       환불되지않습니다)▶SK,KT,LGU+<최신폰,무료폰,전기종 상담가능>◀  새핸드폰 최저가 상담 및 즉시개통 업무 가능합니다!  내가 쓰던 요금 그대로! 최신폰으로 변경!  우리 가족 결합할인도 그대로!  데이터 복원 및 백업(어플,연락처,카카오톡,인증서 등)  쓰던폰 안에 모든 데이터 그대로 새폰으로 옮겨드립니다!  쓰던 폰은 최고가로 매입해드립니다!                       ※교환반품※  단순 변심에 의한 반품 요청은 제품 인수일 이내에만 가능하며   왕복 택배비 6.000원 부담하셔야 합니다.  (단순변심 환불시 판매가 20% 제외 됩니다!!)★기기 불량에 의한 교환 및 환불 의사는 반드시 제품 인수일 포함 7일 이내에 요청하셔야 당사에서 처리 가능합니다.(고지안한 기능이상이 있을경우에만 해당)이후 발생하는 건에 대해서는 해당 제조사 서비스센터 및 수리점 방문 하셔야 합니다.★"
아이폰13프로 에디션,"50,000",1시간 전,저의 아이폰13프로로 찍은거에요 모두 수제작이니 사주세용
갤럭시S21 256GB 화이트,"360,000",1시간 전,"제품정보갤럭시S21 256GB 화이트최초 통신사: SKT( SK / KT / LG / 알뜰폰 모두 유심만 꽂아서 사용가능 합니다)가격 : 36만원제품설명화면에 기스없이 깨끗합니다뒷판에 일자로 기스같은 깨짐있습니다문의사항 번개톡주세요2주안에 기기문제있을시 교환,환불가능합니다그 이후로는 불가능합니다고객님의  부주의로 인한  불량  파손  침수불량 으로인한  교환 및 환불요청시  불가 합니다"
갤럭시S21 256기가 SSSSS급!!0707-10,"420,000",1시간 전,"■제품정보모든제품 기능검사 철저하게 진행하고있습니다.최저가로 최상의 제품을 모시겠습니다.*기기명:갤럭시s21 256기가*제품번호; 0707-10*색상: 블랙*최초개통일:21년 7월12일 (무상as남아있음)*최초통신사:SK(SK/LG/KT 호환가능,알뜰폰.선불폰등 모두가능)*제품상태: 충전단자 미세기스말고는 전체적으로 기스,찍힘없이 매우 깨끗합니다.*액정 매우 깨끗합니다.*잔상은 없습니다.*구성품:휴대폰,액정필름,투명케이스,무료배송(재고소진시 단품발송)■제품설명*유심 꽃으면 바로 사용가능*25프로 선택약정 가능*알뜰폰,선불폰 가능 *사설수리폰,침수폰은 취급하지않습니다.*구입후 7일이내 기능이상시 교환,환불가능합니다.(단순변심,고객과실제외)■거래방식*택배 또는 직거래(경기도 광주 매장 방문->율동공원 5분거리)*택배이용시 택배비 무료*오후 4시까지 결제시 당일발송■업체 정보및 연락처*주소지:경기도 광주시 오포읍 능평로 47 호박마켓*연락처:0.1.0.5.0.4.4.6.2.0.0"
#당일발송# 갤럭시z플립3 256GB 등급별 중고폰 공기계!,"565,000",2주 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!💟후기 이벤트[후기작성을 약속해 주세용!!]💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]💟💟    갤럭시Z플립3    💟💟⭕️SS급 :  256G -  68.5만원        [새 폰 처럼 보이는 MAGIC!]⭕️S급 :  256G -  63.5만원[완전깨끗한S급!]⭕️A급 :  256G -  56.5만원   [사용감있지만 기능&가성비 최고!]⭕️ B급 :  256G - 재고문의[ 전체적인 중고감 & 액정에 잔상및 기스가 있는 제품]🔎 상품상세 🔎•색상 : 블랙/그린/퍼플/크림/핑크•기가수 :  256G•구성 : 휴대폰•통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)•알뜰폰[유심만 변경하면 바로 사용 가능]🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전📞)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후9시      주말:오후 13:00시부터~오후8시                    ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
갤럭시 폴드3 아이폰교신,100,1시간 전,갤럭시 폴드3 256기가 아이폰13프로맥스 아님 12프로맥스랑 교신하실분~ 딱히 하자는 없는데 그 펼친 화면에 티안나게 살짝 점생겼는데 사용하는데 지장 1도없습니다 그리고 13프로맥스 교신하실때 추금대신 갤럭시 워치4 44미리 블랙 드리겠습니다! 언제든 편하게 연락주세요 추가로 사진더 필요하시면 드릴께요 사진을 잘못찍어서요 왠만하면 직거래하겠습니다
S급 아이폰12 128G 화이트 (878),"680,000",1시간 전,"안녕하세요 LL모바일 입니다!     좋은상품과 친절한 서비스로 보답하겠습니다.    LL모바일 프로필 누르시고 상품 누르시면         올려놓은상품 전~~부 보입니다!      ●모델 : 아이폰12 128G      ●통신 : (3사호환가능)      ●색상 : 화이트      ●기능 : 이상없음      ●상태 : S급      ●가격 : 68만원      ●구성 : 기기+액정보호필름+투명젤리케이스      ‣ 해당제품은 정상해지 공기계 입니다     ‣ 모든 기능 / 침수 이상없는 제품입니다    ‣ 핸드폰 구입시 기존핸드폰 고가 매입합니다                        ▶후기EVENT◀                    후기를 작성해주시면        이 모든 사은품을 만원에 챙겨드립니다     (강화필름/케이스/케이블/어답터/그립톡/               유심핀/무선충전기/보조배터리)            ▶액정보호필름 할인EVENT◀  아이폰구매자에 한해서 저렴히 판매합니다                  풀커버필름 : 3,000원               프라이버시필름 : 5,000원                          ‣거래방법   ‣직거래:분당 서현역매장(자세한 위치는                   번개채팅으로 문의부탁드립니다)  ‣택배거래:배송비3천원(09:00 ~ 15:00                   결제완료 택배건은 당일출고됩니다)                    그외:지하철퀵/오토바이퀵                    본인부담으로 가능합니다 ‣예약거래 :예약을 원하시는분께서는 판매가의                    20% 선입금완료시                  다른 구매희망자에게 판매가 보류되며,                 구입시 예약금을 제외한 차액만                   결제해주시면 됩니다.            (단,예약 후 구매안할시 예약금은                       환불되지않습니다)▶SK,KT,LGU+<최신폰,무료폰,전기종 상담가능>◀  새핸드폰 최저가 상담 및 즉시개통 업무 가능합니다!  내가 쓰던 요금 그대로! 최신폰으로 변경!  우리 가족 결합할인도 그대로!  데이터 복원 및 백업(어플,연락처,카카오톡,인증서 등)  쓰던폰 안에 모든 데이터 그대로 새폰으로 옮겨드립니다!  쓰던 폰은 최고가로 매입해드립니다!                       ※교환반품※  단순 변심에 의한 반품 요청은 제품 인수일 이내에만 가능하며   왕복 택배비 6.000원 부담하셔야 합니다.  (단순변심 환불시 판매가 20% 제외 됩니다!!)★기기 불량에 의한 교환 및 환불 의사는 반드시 제품 인수일 포함 7일 이내에 요청하셔야 당사에서 처리 가능합니다.(고지안한 기능이상이 있을경우에만 해당)이후 발생하는 건에 대해서는 해당 제조사 서비스센터 및 수리점 방문 하셔야 합니다.★"
16341 갤럭시노트10 N971 256기가 화이트 무잔상 정상해지 공기,"240,000",1시간 전,"16341 갤럭시노트10 N971 256기가 화이트 무잔상 정상해지 공기계 24만1. 제품정보 - 기기명: 갤럭시노트10- 색상: 화이트- 최초통신사: KT- 최초통화일: 20.12.04- 제품상태: 기기상태는 사진과 동일하니 첨부된 사진 참고바랍니다.- 가격: 240,000원- 구성품: 기기단품​2. 제품설명- 통신3사(SK,KT,LG) 호환 가능하고 기능상 문제없는 정상제품 입니다.- 정상해지 기계이며 선택약정 25% 할인 가능 합니다.3. 거래방식- 수원시청역 직거래 or 택배거래(선불 3000원)"
갤럭시S8 오키드그레이 64GB 정상해지 공기계 팝니다 66864,"130,000",1시간 전,"📌 제품정보 📌- 모델명 : 부산 G950- 용량 : 64GB- 최초통신사 : SK ( SK / KT / LG / 알뜰폰 모두 유심만 꽂으면 사용가능 )- 구성품 : 케이스 + 필름 ( 보유중인 기종만 가능 ) - 기능 : 안되는거 없이 전부 다 잘됩니다 - 선택약정 : 지금 받고 계시면 유심 변경시 그대로 적용 가능 📌 제품설명 📌 제품 사진 100%  실사입니다외관 상태 사진과 동일합니다화면에 기스있어서 UV강화필름 붙혀놔서 티안나고 작동 잘 됩니다 ^^)확정기변 가능한 정상해지 공기계 입니다안 되는 거 없이 전부 다 됩니다- 상품 번호 : 66864( 상품번호 알려주시면 빠른 확인 가능합니다 )* 가격조정 절대 불가, 네고 문의 사절 ** 중고거래 특성상 단순변심/고객과실은 교환 및 환불 불가 ** 기능적인 문제 있는 경우 1주이내 교환/환불 가능 *📌 거래방식 📌- 직거래 or 택배 or 퀵 ( 배송비 별도 )- 직거래 주소 : 부산 금정구 부산대학로 45-1 CU편의점 지하 1층 중고폰 매장- 연락처 : 0 1 0 - 5 7 8 7 - 4 3 0 2- 전화 / 문자 / 카톡 모두 문의 가능합니다.- 댓글 문의는 확인이 어렵습니다.- 업로드 안 된 기기 문의 가능 - 원하는 조건 (기종, 색상 등) 말씀 해 주시면 찾아드립니다- 부산중고폰 매장이라 다른기종들도 많습니다"
S21울트라 256기가 SS급 블랙 59577,"650,000",2시간 전,"😀안녕하세요 친절과 정성을 다해 응대하는 꿀폰입니다😀2022년 코로나로 힘든시기에 꿀폰에서 싸고 좋은폰 GET!!👌실구매자 분들의 후기 확인하시고 소중한 내폰 GET!!👌복잡하고 어려운 중고폰 이제 꿀폰에서 믿고 안심구매 하세요!!최저가 대비 최고의 컨디션으로 보답하겠습니다🔎 상품상세 🔎🎨 색상 : 블랙💾 메모리 : 256기가📋 등급 : SS급 🔧 최초통화일 : 21년02월01일📦 구성 : 휴대폰+필름+젤리케이스🔊 통신사 : LG/SK/KT/3사,선불,알뜰유심 모두 가능💡  25%요금할인(선택약정)가능👉 사용감 거의 없는 아주 깨끗한 S21울트라!!👉 외관 미세기스도 없는 깨끗합니다(사진참고)👉 액정도 깨끗하고 예쁘게 잘 나온 색상입니다(사진참고)👉 손에 촥~ 감기는 그립감에 한손에 쏙! 👉 화면 크기도 영상 시청 및 게임하기에 적당합니다👉 잔상 없고 화질상태 최상입니다👍🏻👉 기능테스트 검사완료 제품으로 최상의 컨디션 입니다📷 100% 실매물 실사입니다  °°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°💲 구매방법 💲🔹 문의사항은 번개톡으로 주시면 됩니다🔹 결제는 번개페이(카드+이체)와 계좌거래 가능합니다🔹 택배는 5시 전까지 입금하심 당일출발 합니다🚀🔹 지방버스퀵 가능합니다 서울경기 퀵 서비스 가능합니다🔹 직거래는 9호선 신논현역 도보3분 매장🔹 영업시간11시~20시    °°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°   🟣 기기구성 🟣📦 구성 : 휴대폰+필름+젤리케이스🎁 이벤트적용 : 필름+케이스+충전기(비정품)+그립톡+유심핀     포토후기 이벤트시 배송전 여부 말씀해 주심     같이 배송해 드립니다🎅   °°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°° ‼️‼️필독사항‼️‼️🔹 강남 신논현역에서 중고폰 전문샵 운영🔹 판매후 연락두절 개인보다 전문샵에서 구매 권장🔹 1차 제품살균기/2차 PURELL 표면소독후 밀봉보관🔹 정품만을 취급하며 정품아닐시 100% 환불🔹 30일 무상보증 (기능불량해당)   °°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°° 💰 기존 휴대폰 최고가 매입해 드립니다.💰1️⃣ 정상폰,파손폰,기능이상폰 모든폰 매입가능😍2️⃣ 이게 돈이 되겠어? 하는 모든폰 매입가능😲3️⃣ 기사님께서 직접 수거해 가시는 무료픽업서비스🚚"
아이폰SE2 256GB 화이트 9687,"250,000",1시간 전,"😀필독사진, 게시글 꼭 확인해주세요!사진의 빛은 조명 불빛입니다!😐상품설명❣ 모델명 : 아이폰SE2❣ 용량 : 256GB❣ 색상 : 화이트❣ 구성 : 기기단품❣ 기능 : 모든 기능 정상❣ 잔상 : X❣ 상태 : 찍힘(사진과 동일합니다)❣ 금액 : 250,000❣ 택배 : 가능💥구매자님들의 사기피해 방지를 위해 공식인증을 거쳐 판매중 입니다💥L G / S K / K T / 알 뜰 폰 / 선 불 폰 유심사용가능합니다직 거 래ㆍ택 배 거 래ㆍ화 물 택 배ㆍ퀵 가능* 오후 5시 전 입금 건 당일 택배 발송 *🎈 월~토 모든 기기는 정상적인 기능 테스트를 거쳐 정상작동 확인 후 판매합니다★ 단 순 변 심 , 게시글 내용 미확인 교환/환불 불가합니다 ★* 올린 기기말고도 많은 기계들이 있으니 찾으시는 기기 문의주세요 ☎📞"
갤럭시S20플러스울트라   최저가 판매,"300,000",1시간 전,"중고폰  도매업체 폰마트입니다 최저가   중고폰   전기종 판매 합니다기종:S20플러스울트라    통신사:SK~KT~LG (3사호환 가능합니다 알뜰유심,선불유심도사용가능)0 1 0 2 8  2 3 8 0 2 2 구성품  케이스 필림  요금할인:가능유심기변:가능상태 : 외관상태는 사진과 동일  잔상있어서 싸게 드려요   정상작동 모두 완벽합니다   하자 일체없음 거래방법: / 택배거래 / 퀵 가능합니다위치:인천메트로  1호선   부개역"
갤럭시노트10+플러스 512GB 2684,"250,000",1시간 전,"기기명 / 용량 / 색상 : 갤럭시노트10+플러스 512GB 글로우통신사: KT 최초통화일 : 2019.08제품상태 : 공기계, 선택약정 가능제품설명 : 액정과 뒷면 파손없습니다.화면에 작은점 있으나 사용시 지장 없으며검은 점은 시간이 지나도 크기변화 없습니다.모든 기능 테스트를 마쳤으며  정상작동 합니다.LTE 요금제 사용하시면 그대로 쓸 수 있고,타통신사 및 알뜰유심 장착하면 사용 할 수 있습니다.☆상품문의 O1O-8061-8026◎모든 제품은 구매시 소독하여 발송합니다◎거래방식직거래:인천 주안역택배거래:평일 16:00이전 입금확인시 당일발송"
갤럭시S9 64G 최저가 가성비짱 12만 대량보유500대,"120,000",1시간 전,상세설명                                                                                                     기종: 갤럭시S9 가격: 12만  상태: 외관깨끗 잔상유 기능정상 세컨폰 영업폰 추천 가성비짱 색상: 블랙 블루 오키드그레이 골드 잔상: 유                                           구성품: 기기 케이스  기가수: 64G&256G(+3만원)                                                        최초통신사: 원하시는통신사 맞춰드려요^^  통신호환: SK/KT/LG 거래방식: 직거래 택배거래 직거래장소: 인천 부평구 장제로 221번길 6 명진빌딩 2층 PMT   연락처 0...1....0   9.......3........9......3   7...3...4...5                      대량구매시 단가협의가능안녕하세요^^ 금일오후 3시전입금시 당일배송나갑니다..                             정직 신속 양심적으로 판매하고있습닏다..                                       폰은 판매하되 양심은 버리지 않겠습니다.. 기능및유심테스트 두번에걸쳐 끝난제품입니다..단 변심으로인한 교환환불불가24시간 상당가능합니다.항상 정직하고 양심적으로 판매하겠습니다^^최고보다는 최선을다하겠습니다
#당일발송# 갤럭시노트10플러스 256G 등급별 중고폰 공기계,"329,000",2주 전,"✔구매 전 10000 개가 넘는 실제 구매후기를 확인해주세요. ✔[쿠팡/네이버/옥션/G마켓/위메프/티몬]등✔번개장터 최초 무상 제품 보증 100일 보장해드립니다.✔매달 진행하는 이벤트를 꼭 확인해주세요. ★ 번개장터 구매고객 특별이벤트 ★🔴구입후 중고폰 100일 제품 보증🔴최고급 사은품 무료 증정🔴구매 전 실제 구매후기를 확인해주세요(번개장터 고객만족도 1위!)🔴출고전 전문엔지니어가 중고폰의 10개 주요항목 정밀 검수후 출고!🔴코로나 시대 소독 세척 실시!   💟후기 이벤트[후기작성을 약속해 주세용!!]💟💟최고급 10종 사은품 증정  이벤트   💟                  [최고급케이스+최고급유리필름+충전기+유심핀+그립톡+무선충전패드+카드수납포켓+키링+제품 보증100일+무료배송)]💟💟   갤럭시 노트10 플러스  💟💟⭕️SS급 : 256G - 38.9만원[새 폰 처럼 보이는 MAGIC!]⭕️S급 : 256G -  35.9만원[완전깨끗한S급!]⭕️A급 : 256G - 32.9만원[사용감있지만 기능&가성비 최고!]⭕️B급 : 256G - 당분간 없음[ 전체적인 중고감 & 액정에 잔상및 기스가 있는 제품]🔎 상품상세 🔎•색상 : 아우라글로우,화이트,블랙•기가수 :  256G•구성 : 휴대폰•통신사 : SKT/KT/LGU+3사 유심변경가능(사용하던 유심 바로 꽂아 사용가능)•정상해지/확정기변/25%약정할인가능 🔻 거래방법 🔻⚡ 택배거래  가능  ⚡⚡ 퀵 서비스 가능  ⚡⚡ 직거래      가능  ⚡📦 택배거래 📦당사는 로젠택배를 통하여매일 PM 19:00 배송 나갑니다 18:00 시전으로 구매확정 하시면 당일배송출발택배비 지원해드립니다~📞 직거래 📞직거래위치는 강남구청역 입니다 매장방문은 2번출구 바로 뒷편 건물 10층지번주소: 강남구 논현동 241-7 10층(방문전📞)★ 직거래 구매시 매장 방문 시간은 ★     평일:오전 11:00시부터~오후9시      주말:오후 13:00시부터~오후8시                   ⚠️ 필독사항 ⚠️✔️ 상담주실때 캡쳐/사진 주시면 빠른상담가능✔️ 기능상 문제가 아닌, 단순변심으로는       교환&환불 절대 불가합니다.✔️ 정품만을 취급하며 정품아닐시 100% 환불 해드립니다✔️ 무상 A/S는 액정파손/배터리/침수/본인과실은 불가합니다     ✔️ 분실/도난은 절대 판매 및 취급 하지 않습니다★ ★ ★ ★ 사용하시던 중고핸드폰 번개장터 최고가격으로 매입해드립니다 ★ ★ ★ ★"
아이폰13미니 김성옥고객님,"450,000",1시간 전,김성옥고객님 결제창입니다.
갤럭시 와이드4 상태 좋고 잔상 없어요 특가10만,"100,000",1시간 전,서울대입구역 직거래우선입니다. 기타 지역 택배 거래 입니다. ***-****-****  체인점입니다. 믿고 거래 하셔도 됩니다. 네이버에서 서울대입구 에코폰  검색하시면 저희 매장 나옵니다. 많은 문의 부탁드립니다.
당일발송 사은품8종 갤럭시s9플러스 중고폰 등급별 최저가 판매 !,"149,000",1시간 전,"안녕하세요 WING MOBILE입니다!오프라인 중고폰 전문 업체 운영중 믿고 거래하세요!한국어 상담/中文谘询/ENG OK!!전문 엔지니어팀이 외관&기능 정밀 검수 후 출고!••••••••••••구매 후기 이벤트 진행중••••••••••••구매 후기 작성시 사은품 8종 무료 증정!젤리케이스+보호필름+충전기+유심핀세트+그립톡+마스크+세정티슈+무료배송(한정수량으로 제공되며 조기 소진될 수 있습니다. 이벤트에 참여시 문의해주세요!) ••••••••••••거래 방법••••••••••••직거래: 동대문역사문화공원역 5번출구 도보 3분입니다!!주소: 서울 중구 마른내로 155 광희동금호트윈오피스텔 2동 901호 (방문전 연락주세요!) 평일: 오후 1시 ~ 오후 9시(주말/공휴일은 휴무입니다!)택배거래: 택배사: 로젠택배 평일 오후 4시 이전 주문시 당일 발송 가능 퀵거래: 접수 가능, 퀵요금 고객 부담!••••••••••••갤럭시 s9플러스••••••••••••SS급 :  229,000원 S급 :  199,000원 A급 : 179,000원 B급 : 149,000원••••••••••••상품 상세 정보••••••••••••상품명: 갤럭시 s9플러스용량: 64GB색상: 코랄 블루,라일락 퍼플,버건디 레드,선라이즈 골드,미드나잇 블랙구성 : 휴대폰통신사 : SKT/KT/LGU+3사 유심변경가능 (사용하던 유심 바로 꽂아 사용가능)25%약정할인가능 ••••••••••••상품 등급 안내••••••••••••SS급: 사용감이 거의 없는 새폰 같은 상품! S급: 전체적으로 아주 깨끗한 상품! A급: 외관 사용감 다소 있지만 가장 많이 선호하는 등급!!B급: 외관 사용감 많고 강한 잔상이 있는 상품, 가성비짱!C급: 기능이상은 없으나 액정/LCD 파손이 있는 상품 배달/업무/게임폰 추천!!••••••••••••필독사항••••••••••••* 전문 엔지니어팀이 외관&기능 정밀 검수 후 출고!* 문의하실 때 상품번호를 알려주시면 신속한 상담 가능!* 구매일로부터 7일 이내 기능 이상이 발생 시 교환 또는 환불 가능(고객 과실에 의한 부분 제외)* 단순변심으로 인한 교환/환불 불가합니다!* 분실/도난 핸드폰은 판매하지 않습니다!* 사용하시던 중고폰 최고가로 매입해드립니다!••••••••••••연락 방법••••••••••••채팅 또는 전화/문자 상담 가능합니다!전화번호 : 01o 9976 4926궁금하신 사항이 있으시면 언제든지 연락주세요!"
갤럭시S22 256기가 핑크 A-급 판매합니다)부산중고폰 0496,"590,000",1시간 전,"★★제품설명  보시는 기종은 SK/LG/KT 3사 모두 유심만꽂아서 사용 바로가능한 제품입니다★★【중고폰은 쓰시던 유심칩만 끼우시면 바로사용 가능합니다】 ★★제품설명  (보시는 기종은 SK/LG/KT 3사 모두 유심만꽂아서 사용 바로가능한 제품입니다)★★ 기 종 : 갤럭시S22★★ 용 량 : 256G★★ 색 상 : 핑크★★ 최초통신사 : KT  ★★ 등급 : ★ A- 급 입니다 (사진참고).★★★ 단말기 상태 : ★액정생활기스 테두리찍힘 있습니다  (사진참고)★★★구성품 : 휴대폰단품입니다★★ 가격 : 590,000★★ 전체기능 : 모든기능정상작동(철저한 기능검수 완료!!)★ SS급 : 신품과같은상태(기스X찍힘X)★  S급: 약한생활기스만있는상태입니다★  A급: 약간의찍힘 생활기스 있는상태입니다★  B급: 잔상,멍, 심한찍힘 액정칼기스등의상태입니다.★ 번호 : 0  1  0 - 7  9  2  0 - 9  8  0  1 ※필독해주세요※※구입 후 단순변심으로 인한 교환 및 환불은 불가합니다.  (단, 기능상 이상이 있을 경우 7일이내 교환 및 환불 해드립니다.)※모든 상품은 입고시 1차검수 출고시 2차검수 후 에 나갑니다※당사는 중고폰 도,소매 전문으로 재고가 없을 시 가장 빠른 수급이   가능합니다. 찾으시는 기종이 없으실 경우 편하게 문의해주세요.※근거리는 가능한 매장으로 오셔서 직접 기기를 확인하시고     구입하시는 것을 추천드립니다.※ 분실/도난/침수폰은 절대 판매 및 취급 하지 않습니다.※ 물건 받으시고 내용과 틀릴 경우 무조건 반품 받습니다.▶▶수령방법◀◀◈택배거래 : 16:30분 이전 입금 시 당일 발송◈ 배송은 다음날 받아보실 수 있도록 최대한 빨리 배송해드리겠습니다.◈ 퀵 서비스 가능.◈  부산 범일역 2번출구 부근"
